Time,Susceptible,Infected,Removed
0.0,0.99,0.01,0.0
0.1,0.9897000927607305,0.010198912935030908,0.00010099430423884804
0.2,0.9893943290558902,0.01040167888773142,0.00020399205637864753
0.30000000000000004,0.9890825566356226,0.010608396227667445,0.00030904713671012115
0.4,0.988764724813835,0.0108190976275599,0.0004161775586052623
0.5,0.9884406928042598,0.011033873934586626,0.0005254332611536992
0.6000000000000001,0.9881103298190062,0.011252809568086355,0.0006368606129076823
0.7000000000000001,0.9877735180126589,0.011475980399694195,0.0007505015876470575
0.8,0.9874301447487275,0.011703458860873511,0.0008663963903992027
0.9,0.9870800912568208,0.01193532143277165,0.0009845873104076957
1.0,0.9867232325142875,0.01217164840385072,0.0011051190818619611
1.1,0.986359440890855,0.012412521650483822,0.0012280374586612834
1.2000000000000002,0.9859885852972553,0.012658025134538405,0.0013533895682065248
1.3,0.9856105525397736,0.012908231978213303,0.0014812154820132814
1.4000000000000001,0.985225192769134,0.013163237506660387,0.0016115697242058782
1.5,0.9848323780476332,0.013423123772607248,0.0017444981797597576
1.6,0.9844319728722765,0.013687977359712894,0.0018800497680109198
1.7000000000000002,0.9840238372592368,0.01395788754326242,0.002018275197500979
1.8,0.9836078312138828,0.014232943624629618,0.002159225161487722
1.9000000000000001,0.9831838118156202,0.014513236669625033,0.0023029515147549736
2.0,0.9827516332178917,0.014798859508495944,0.0024495072736125958
2.1,0.9823111474908711,0.015089906166463801,0.0025989463426651913
2.2,0.9818622063178135,0.0153864707173914,0.0027513229647952815
2.3000000000000003,0.9814046572984857,0.015688649781792397,0.00290669291972208
2.4000000000000004,0.9809383452920791,0.01599654161933921,0.0030651130885817742
2.5,0.9804631125502071,0.016310246038988025,0.0032266414108049948
2.6,0.9799787988586905,0.016629864297018862,0.00339133684429072
2.7,0.9794852436276725,0.01695549759401096,0.0035592587783166464
2.8000000000000003,0.9789822834186858,0.017287248853156197,0.003730467728158126
2.9000000000000004,0.9784697519432026,0.01762522272130198,0.003905025335495517
3.0,0.977947480567761,0.017969525205709207,0.004082994226529868
3.1,0.9774152983139649,0.018320263674052283,0.004264438011982918
3.2,0.9768730313812892,0.01867754694787659,0.004449421670834366
3.3000000000000003,0.9763205031734544,0.019041485297433092,0.004638011529112617
3.4000000000000004,0.9757575350481722,0.01941219029484246,0.004830274656985465
3.5,0.9751839459271263,0.019789774890479315,0.005026279182394507
3.6,0.9745995522950326,0.0201743534131564,0.005226094291811193
3.7,0.9740041683427327,0.020566041583056048,0.005429790074211327
3.8000000000000003,0.9733976042534518,0.020964956356857908,0.0056374393896905
3.9000000000000004,0.9727796692776872,0.02137121620561915,0.005849114516693815
4.0,0.9721501695735121,0.02178494091960089,0.006064889506887165
4.1000000000000005,0.9715089088292372,0.022206251664538722,0.00628483950622419
4.2,0.970855688244622,0.02263527097111081,0.006509040784267325
4.3,0.970190306311433,0.023072122415175176,0.006737571273391903
4.4,0.9695125590007264,0.023516930924820496,0.006970510074453145
4.5,0.96882223979968,0.02396982285555378,0.007207937344766396
4.6000000000000005,0.968119139624219,0.02443092587407124,0.007449934501709816
4.7,0.9674030468033646,0.024900368952559936,0.007696584244075551
4.800000000000001,0.9666737470635797,0.02537828236299944,0.00794797057342094
4.9,0.9659310235186054,0.025864797666466266,0.00820417881492846
5.0,0.9651746573151053,0.02636004710532646,0.00846529557956831
5.1000000000000005,0.9644044271482722,0.026864164024324188,0.008731408827403675
5.2,0.963620108853008,0.02737728322286032,0.009002607924131805
5.300000000000001,0.9628214757163811,0.02789954065055085,0.009278983633068123
5.4,0.9620082984723946,0.028431073392040818,0.009560628135564733
5.5,0.9611803452967529,0.028972019651818254,0.009847635051428962
5.6000000000000005,0.9603373818016455,0.02952251873901924,0.010140099459335358
5.7,0.9594791720939924,0.030082710440064286,0.010438117465943494
5.800000000000001,0.9586054784169187,0.030652735206840604,0.01074178637624079
5.9,0.9577160599251012,0.031232734843460487,0.011051205231438379
6.0,0.956810673440701,0.03182285205291999,0.01136647450637913
6.1000000000000005,0.9558890734680334,0.03242323041045629,0.011687696121510362
6.2,0.9549510122082384,0.03303401433690516,0.012014973454856555
6.300000000000001,0.9539962395739497,0.03365534907205834,0.01234841135399209
6.4,0.953024503971294,0.034287380002405964,0.012688116026300067
6.5,0.9520355524845153,0.034930252491497844,0.013034195023986868
6.6000000000000005,0.9510291293866502,0.03558411311873115,0.013386757494618717
6.7,0.950004976940862,0.03624910899082453,0.013745914068313575
6.800000000000001,0.9489628354411058,0.036925387693303786,0.014111776865590512
6.9,0.9479024432449419,0.037613097248593685,0.014484459506464495
7.0,0.9468235368063489,0.03831238607410996,0.014864077119541214
7.1000000000000005,0.9457258514410816,0.03902340232669003,0.015250746232228518
7.2,0.9446091220644343,0.03974629327013977,0.01564458466542608
7.300000000000001,0.9434730810283217,0.040481207072716546,0.016045711898961795
7.4,0.9423174591523679,0.04122829192895402,0.01645424891867823
7.5,0.9411419858190251,0.04198769596555916,0.016870318215415802
7.6000000000000005,0.9399463890288633,0.04275956718067664,0.01729404379046018
7.7,0.9387303954558571,0.04354405338315324,0.017725551160989644
7.800000000000001,0.9374937311648527,0.044341301592738976,0.01816496724240835
7.9,0.9362361229886454,0.0451514569033125,0.01861242010804214
8.0,0.9349572956926221,0.045974664775353766,0.019068039532024246
8.1,0.9336569731652313,0.04681107005108278,0.019531956783685932
8.200000000000001,0.9323348786088096,0.0476608167833861,0.020004304607804318
8.3,0.9309907346221398,0.04852404815288081,0.020485217224979483
8.4,0.9296242632830096,0.04940090638497871,0.020974830332011685
