0	0.0704
1	0.1552
2	0.1864
3	0.2
4	0.2208
5	0.256
6	0.272
7	0.2992
8	0.3072
9	0.3328
10	0.3504
11	0.3712
12	0.3936
13	0.4
14	0.4176
15	0.4264
16	0.444
17	0.4504
18	0.4528
19	0.4584
20	0.4568
21	0.4752
22	0.4752
23	0.4664
24	0.4792
25	0.4744
26	0.4848
27	0.4976
28	0.512
29	0.5248
30	0.5376
31	0.5472
32	0.5464
33	0.5464
34	0.5496
35	0.5472
36	0.5496
37	0.544
38	0.5552
39	0.5696
40	0.5792
41	0.5888
42	0.5984
43	0.6096
44	0.6176
45	0.6352
46	0.6384
47	0.6488
48	0.6496
49	0.6584
50	0.6576
51	0.6616
52	0.6784
53	0.6944
54	0.6984
55	0.696
56	0.7048
57	0.7136
58	0.7184
59	0.7232
60	0.7272
61	0.744
62	0.7512
63	0.764
64	0.7648
65	0.7624
66	0.7624
67	0.7608
68	0.7744
69	0.7776
70	0.7952
71	0.8032
72	0.8216
73	0.8288
74	0.8344
75	0.8384
76	0.8456
77	0.8624
78	0.8656
79	0.872
80	0.8808
81	0.876
82	0.8768
83	0.8776
84	0.8768
85	0.8816
86	0.8816
87	0.892
88	0.8968
89	0.8944
90	0.9032
91	0.9072
92	0.9104
93	0.9104
94	0.912
95	0.9072
96	0.908
97	0.9096
98	0.9112
99	0.9128
