0	0.0272
1	0.0616
2	0.0592
3	0.06
4	0.06
5	0.0504
6	0.0664
7	0.0624
8	0.04
9	0.032
10	0.0536
11	0.0608
12	0.068
13	0.076
14	0.0816
15	0.092
16	0.1
17	0.1008
18	0.08
19	0.0936
20	0.0992
21	0.096
22	0.1056
23	0.1016
24	0.1072
25	0.0952
26	0.0968
27	0.0952
28	0.0952
29	0.1008
30	0.1032
31	0.1008
32	0.0944
33	0.0968
34	0.0848
35	0.0944
36	0.1064
37	0.1112
38	0.1224
39	0.1296
40	0.1232
41	0.1248
42	0.1288
43	0.1312
44	0.1384
45	0.1392
46	0.1432
47	0.148
48	0.1512
49	0.1608
50	0.168
51	0.1824
52	0.1912
53	0.2
54	0.1992
55	0.1872
56	0.192
57	0.1984
58	0.204
59	0.2112
60	0.2008
61	0.1848
62	0.188
63	0.2016
64	0.2008
65	0.2088
66	0.2032
67	0.204
68	0.2168
69	0.2192
70	0.2184
71	0.2112
72	0.216
73	0.216
74	0.224
75	0.2296
76	0.2184
77	0.22
78	0.2336
79	0.2384
80	0.2416
81	0.264
82	0.2856
83	0.2904
84	0.3016
85	0.2976
86	0.3144
87	0.3152
88	0.3176
89	0.3232
90	0.3264
91	0.3304
92	0.3512
93	0.3584
94	0.3544
95	0.348
96	0.3456
97	0.3528
98	0.3656
99	0.3688
